line_cd,company_cd,line_name,line_name_k,line_name_h,line_color_c,line_color_t,line_type,lon,lat,zoom,e_status,e_sort
1011,1,北海道新幹線,ホッカイドウシンカンセン,北海道新幹線,,,,140.64422607421900,42.094146370922700,7,0,1011
11101,1,JR函館本線(函館～長万部),ハコダテホンセン,JR函館本線(函館～長万部),#0072BC,,,140.4833696755390,42.23981411231520,9,0,11101
11102,1,JR函館本線(長万部～小樽),ハコダテホンセン,JR函館本線(長万部～小樽),#ED1C23,,,140.64288780797800,42.919910231257600,9,0,11102
11103,1,JR函館本線(小樽～旭川),ハコダテホンセン,JR函館本線(小樽～旭川),#F7931D,,,141.69791081566100,43.41509739716940,9,0,11103
11104,1,JR室蘭本線(長万部・室蘭～苫小牧),ムロランホンセン,JR室蘭本線(長万部・室蘭～苫小牧),#0072BC,,,141.00639370749400,42.570716742880600,9,0,11104
11105,1,JR室蘭本線(苫小牧～岩見沢),ムロランホンセン,JR室蘭本線(苫小牧～岩見沢),#0072BC,,,141.74449907924200,42.93841714361780,10,0,11105
11106,1,JR根室本線(滝川～新得),ネムロホンセン,JR根室本線(滝川～新得),#8CC63E,,,142.33553315885800,43.35975106210290,10,0,11106
11107,1,JR根室本線(新得～釧路),ネムロホンセン,JR根室本線(新得～釧路),#8CC63E,,,143.56474408569,42.965674701143000,9,0,11107
11108,1,花咲線,ハナサキセン,JR根室本線(釧路～根室),#8CC63E,,,145.06428821168300,43.127554624234800,9,0,11108
11109,1,JR千歳線,チトセセン,JR千歳線,#00B2EB,,,141.56756876161400,42.88585086761010,10,0,11109
11110,1,JR石勝線,セキショウセン,JR石勝線,#8CC63E,,,142.1208103432330,42.97760967295120,9,0,11110
11111,1,JR日高本線,ヒダカホンセン,JR日高本線,,,,142.18922815000000,42.43948997730970,9,0,11111
11112,1,JR札沼線,サッショウセン,JR札沼線,#00A54F,,,141.6575100609380,43.33044877643190,10,0,11112
11113,1,JR留萌本線,ルモイホンセン,JR留萌本線,,,,141.76379195252100,43.84733116708820,10,0,11113
11114,1,JR富良野線,フラノセン,JR富良野線,#AA5EA6,,,142.42933338107800,43.60983839136590,10,0,11114
11115,1,JR宗谷本線,ソウヤホンセン,JR宗谷本線,#954A35,,,142.22561395814,44.65872969562160,8,0,11115
11116,1,JR石北本線,セキホクホンセン,JR石北本線,#F7931D,,,143.36294609598500,43.96138769857780,8,0,11116
11117,1,JR釧網本線,センモウホンセン,JR釧網本線,#EF59A1,,,144.43376556585200,43.52373901301900,9,0,11117
11118,1,JR海峡線,カイキョウセン,JR海峡線,,,,140.32904703906300,41.36657456566200,9,0,11118
11119,1,JR江差線,エサシセン,JR江差線,,,,140.4168208243980,41.77538189770950,10,2,11119
